index,productid,imageid,text,lang,text_fr,imagefile,prdtypecode,prediction_correct_image,prediction_correct_text,prediction_correct_fusion,designation,description
39243,1983972046,1118654744,Ambulance Retrofriction  Son Jouet - (1,en,Ambulance Retrofriction Son Jouet - (1,1280/image_1118654744_product_1983972046.jpg,1280,False,False,True,Ambulance Retrofriction  Son Jouet,(1
45694,154099350,909766184,Jeux Olympiques Atlanta 1996 The Atlanta Journal Et Programme Officiel - ,fr,Jeux Olympiques Atlanta 1996 The Atlanta Journal Et Programme Officiel - ,2403/image_909766184_product_154099350.jpg,2403,False,False,True,Jeux Olympiques Atlanta 1996 The Atlanta Journal Et Programme Officiel,
19766,3971761681,1270628131,Lampe Led Étanche Mur Solaire Avec Double Couleur Source De Lumière Yard Jardin - LED intelligente de verrouillage de porte Cabinet clé induction Petite Nuit Capteur de lumière lampe Spécification: 100% neuf et de haute qualité d'auto-détection de lumière serrure de porte LED utilisent le corps humain la technologie des capteurs à infrarouge et la lumière de la technologie de détection automatique. Quand il y a une main à proximité de la serrure de porte est installé dans la serrure au-dessus des lumières de LED éclairer automatiquement. Les gens viennent la lumière a été brillante les gens vont les lumières éteintes automatiquement. Le rendre facile et sûr d'entrer dans votre maison. Dans l'obscurité ne pas tâtonner devant votre porte. Matière: Plastique. Taille: 8 x 4 x 3 cm / 314 x 157 x 118 pouces (L x L x H). Source lumineuse: 4 x LED. modes de détection: détecteur infrarouge humain. Contrôle du capteur: capteurs photosensibles (travail de nuit veille de jour). Angle sensible: 60 degrés. la distance sensible: 3 m / 118 pouces. Temps de retard: 6-8 secondes. Température de fonctionnement: de -5 à 38 degrés Celsius. Humidité de travail: 5% -93%. Puissance: 1.5V. Courant de veille: & lt; 01 mA. Alimentation: un cinquième batterie (AA). Installation: utiliser un adhésif double face (avec) ou utiliser des vis M3.0X20 mm (non inclus). Utilisation: placé sur la porte cuisine cas coffre-fort armoire tiroirs boîte à gants de voiture etc pour l'éclairage du capteur infrarouge. S'il vous plaît noter que la batterie doit être acheté par vous-même. Dépannage: 1. Lorsque l'appareil est allumé la lumière ne se allume pas. Solution: A. Vérifiez la polarité de l'installation de la batterie. B. Lorsque la lumière ambiante est trop lumineux la lampe est en mode veille. C la batterie est déchargée s'il vous plaît remplacer la batterie. 2. Lorsque l'appareil est allumé le voyant clignote. Solution: A a besoin d'hôte une à deux minutes pour stabiliser le circuit interne B la batterie peut être faible s'il vous plaît remplacer la batterie. Remarque: S'il vous plaît permettre des erreurs 1-5mm grâce à la mesure manuelle. Ne pas placer le produit dans une position face à la porte en verre ou lorsque la température change radicalement. En raison de ce type de produit qui utilise un capteur infrarouge il faut un environnement relativement stable. S'il vous plaît garder la lampe loin du moniteur et de la télévision. S'il vous plaît prêter attention à la température et l'humidité de l'environnement de travail sinon la vie de la batterie sera affectée. Utilisez une bonne batterie de qualité LR06 (AA) N ° 5 ou batterie rechargeable. Après la lumière sort un délai de 6-8 secondes puis travailler à nouveau. LED ne devraient pas viser directement les yeux des gens en particulier les enfants. Lors de l'installation du produit ne l'installez pas dans un endroit qui est facile pour les enfants à éviter afin d'éviter les accidents pour les enfants. couleur de l'article affiché dans les photos peut montrer un peu différent sur votre écran d'ordinateur car les moniteurs ne sont pas calibrées même. Le paquet contient: 1 x lumière de verrouillage de porte,fr,Lampe Led Étanche Mur Solaire Avec Double Couleur Source De Lumière Yard Jardin - LED intelligente de verrouillage de porte Cabinet clé induction Petite Nuit Capteur de lumière lampe Spécification: 100% neuf et de haute qualité d'auto-détection de lumière serrure de porte LED utilisent le corps humain la technologie des capteurs à infrarouge et la lumière de la technologie de détection automatique. Quand il y a une main à proximité de la serrure de porte est installé dans la serrure au-dessus des lumières de LED éclairer automatiquement. Les gens viennent la lumière a été brillante les gens vont les lumières éteintes automatiquement. Le rendre facile et sûr d'entrer dans votre maison. Dans l'obscurité ne pas tâtonner devant votre porte. Matière: Plastique. Taille: 8 x 4 x 3 cm / 314 x 157 x 118 pouces (L x L x H). Source lumineuse: 4 x LED. modes de détection: détecteur infrarouge humain. Contrôle du capteur: capteurs photosensibles (travail de nuit veille de jour). Angle sensible: 60 degrés. la distance sensible: 3 m / 118 pouces. Temps de retard: 6-8 secondes. Température de fonctionnement: de -5 à 38 degrés Celsius. Humidité de travail: 5% -93%. Puissance: 1.5V. Courant de veille: & lt; 01 mA. Alimentation: un cinquième batterie (AA). Installation: utiliser un adhésif double face (avec) ou utiliser des vis M3.0X20 mm (non inclus). Utilisation: placé sur la porte cuisine cas coffre-fort armoire tiroirs boîte à gants de voiture etc pour l'éclairage du capteur infrarouge. S'il vous plaît noter que la batterie doit être acheté par vous-même. Dépannage: 1. Lorsque l'appareil est allumé la lumière ne se allume pas. Solution: A. Vérifiez la polarité de l'installation de la batterie. B. Lorsque la lumière ambiante est trop lumineux la lampe est en mode veille. C la batterie est déchargée s'il vous plaît remplacer la batterie. 2. Lorsque l'appareil est allumé le voyant clignote. Solution: A a besoin d'hôte une à deux minutes pour stabiliser le circuit interne B la batterie peut être faible s'il vous plaît remplacer la batterie. Remarque: S'il vous plaît permettre des erreurs 1-5mm grâce à la mesure manuelle. Ne pas placer le produit dans une position face à la porte en verre ou lorsque la température change radicalement. En raison de ce type de produit qui utilise un capteur infrarouge il faut un environnement relativement stable. S'il vous plaît garder la lampe loin du moniteur et de la télévision. S'il vous plaît prêter attention à la température et l'humidité de l'environnement de travail sinon la vie de la batterie sera affectée. Utilisez une bonne batterie de qualité LR06 (AA) N ° 5 ou batterie rechargeable. Après la lumière sort un délai de 6-8 secondes puis travailler à nouveau. LED ne devraient pas viser directement les yeux des gens en particulier les enfants. Lors de l'installation du produit ne l'installez pas dans un endroit qui est facile pour les enfants à éviter afin d'éviter les accidents pour les enfants. couleur de l'article affiché dans les photos peut montrer un peu différent sur votre écran d'ordinateur car les moniteurs ne sont pas calibrées même. Le paquet contient: 1 x lumière de verrouillage de porte,2060/image_1270628131_product_3971761681.jpg,2060,False,False,True,Lampe Led Étanche Mur Solaire Avec Double Couleur Source De Lumière Yard Jardin,LED intelligente de verrouillage de porte Cabinet clé induction Petite Nuit Capteur de lumière lampe Spécification: 100% neuf et de haute qualité d'auto-détection de lumière serrure de porte LED utilisent le corps humain la technologie des capteurs à infrarouge et la lumière de la technologie de détection automatique. Quand il y a une main à proximité de la serrure de porte est installé dans la serrure au-dessus des lumières de LED éclairer automatiquement. Les gens viennent la lumière a été brillante les gens vont les lumières éteintes automatiquement. Le rendre facile et sûr d'entrer dans votre maison. Dans l'obscurité ne pas tâtonner devant votre porte. Matière: Plastique. Taille: 8 x 4 x 3 cm / 314 x 157 x 118 pouces (L x L x H). Source lumineuse: 4 x LED. modes de détection: détecteur infrarouge humain. Contrôle du capteur: capteurs photosensibles (travail de nuit veille de jour). Angle sensible: 60 degrés. la distance sensible: 3 m / 118 pouces. Temps de retard: 6-8 secondes. Température de fonctionnement: de -5 à 38 degrés Celsius. Humidité de travail: 5% -93%. Puissance: 1.5V. Courant de veille: & lt; 01 mA. Alimentation: un cinquième batterie (AA). Installation: utiliser un adhésif double face (avec) ou utiliser des vis M3.0X20 mm (non inclus). Utilisation: placé sur la porte cuisine cas coffre-fort armoire tiroirs boîte à gants de voiture etc pour l'éclairage du capteur infrarouge. S'il vous plaît noter que la batterie doit être acheté par vous-même. Dépannage: 1. Lorsque l'appareil est allumé la lumière ne se allume pas. Solution: A. Vérifiez la polarité de l'installation de la batterie. B. Lorsque la lumière ambiante est trop lumineux la lampe est en mode veille. C la batterie est déchargée s'il vous plaît remplacer la batterie. 2. Lorsque l'appareil est allumé le voyant clignote. Solution: A a besoin d'hôte une à deux minutes pour stabiliser le circuit interne B la batterie peut être faible s'il vous plaît remplacer la batterie. Remarque: S'il vous plaît permettre des erreurs 1-5mm grâce à la mesure manuelle. Ne pas placer le produit dans une position face à la porte en verre ou lorsque la température change radicalement. En raison de ce type de produit qui utilise un capteur infrarouge il faut un environnement relativement stable. S'il vous plaît garder la lampe loin du moniteur et de la télévision. S'il vous plaît prêter attention à la température et l'humidité de l'environnement de travail sinon la vie de la batterie sera affectée. Utilisez une bonne batterie de qualité LR06 (AA) N ° 5 ou batterie rechargeable. Après la lumière sort un délai de 6-8 secondes puis travailler à nouveau. LED ne devraient pas viser directement les yeux des gens en particulier les enfants. Lors de l'installation du produit ne l'installez pas dans un endroit qui est facile pour les enfants à éviter afin d'éviter les accidents pour les enfants. couleur de l'article affiché dans les photos peut montrer un peu différent sur votre écran d'ordinateur car les moniteurs ne sont pas calibrées même. Le paquet contient: 1 x lumière de verrouillage de porte
1543,3847027140,1252097056,Lampe Led Humidificateur Coupe Lumière Mignon Humidificateur D'air Diffuseur Purificateur Atomiseur - Lampe Humidifier Mignon Coupe Lumière LED Humidificateur Diffuseur Purificateur d'air Atomiseur Feature: 100% tout neuf et haute. Quantité: Matériaux de construction set: plastique ABS Augmenter l'humidité de l'air. Hydrater votre peau. Très portable et facile à utiliser un gadget de mode de vie sain il est idéal pour votre maison bureau ect. Capacité du réservoir: 220ML pulvérisation mise hors tension automatique; un bloc de 4 heures 8 heures deuxième bloc d'alimentation: entrée USB Tension: DC5V de travail en cours; Humidification: 400mA Ambiance: 180mA Longueur du câble: 1 mètre Puissance nominale: 2W du brouillard: 30-35ML / H Contrôle: Appui long sur la touche de fonction 15 secondes activer le mode d'éclairage de nuit changement lanterne puis appuyez longuement sur 15 seconde couleur claire; appuyez longuement sur 15 seconde lumière au large. Produit applicable: chambre d'enfants chambre wc salon bureau voiture en plein air etc. Domaine d'utilisation: 10 belo carré Comment utiliser: 1. Débranchez ajouter la tête de l'humidificateur d'eau à la bouteille 2. Fermez le couvercle branchez le câble USB et allumez la puissance 3. Cliquez sur le bouton pour travailler le produit alimentation: alimentation de l'ordinateur l'alimentation de prise d'alimentation alimentation mobile Remarque: Ce produit est un humidificateur le matériel et la structure ne convient pas à l'arôme si l'ajout d'huile essentielle peut endommager la vie du produit. l'eau Humidifier est préférable d'utiliser l'eau du robinet car l'eau distillée après évaporation l'eau pure après extraction a changé le contenu du package de qualité de l'eau d'origine: 1pc Humidifier 1pc câble USB Cliquez sur le bouton pour travailler l'alimentation produit d'alimentation: alimentation de l'ordinateur l'alimentation de prise d'alimentation alimentation mobile Remarque: Ce produit est un humidificateur le matériel et la structure ne convient pas à l'arôme si on les ajoute l'huile essentielle peut endommager la vie du produit. l'eau Humidifier est préférable d'utiliser l'eau du robinet car l'eau distillée après évaporation l'eau pure après extraction a changé le contenu du package de qualité de l'eau d'origine: 1pc Humidifier 1pc câble USB Cliquez sur le bouton pour travailler l'alimentation produit d'alimentation: alimentation de l'ordinateur l'alimentation de prise d'alimentation alimentation mobile Remarque: Ce produit est un humidificateur le matériel et la structure ne convient pas à l'arôme si on les ajoute l'huile essentielle peut endommager la vie du produit. l'eau Humidifier est préférable d'utiliser l'eau du robinet car l'eau distillée après évaporation l'eau pure après extraction a changé le contenu du package de qualité de l'eau d'origine: 1pc Humidifier 1pc câble USB,fr,Lampe Led Humidificateur Coupe Lumière Mignon Humidificateur D'air Diffuseur Purificateur Atomiseur - Lampe Humidifier Mignon Coupe Lumière LED Humidificateur Diffuseur Purificateur d'air Atomiseur Feature: 100% tout neuf et haute. Quantité: Matériaux de construction set: plastique ABS Augmenter l'humidité de l'air. Hydrater votre peau. Très portable et facile à utiliser un gadget de mode de vie sain il est idéal pour votre maison bureau ect. Capacité du réservoir: 220ML pulvérisation mise hors tension automatique; un bloc de 4 heures 8 heures deuxième bloc d'alimentation: entrée USB Tension: DC5V de travail en cours; Humidification: 400mA Ambiance: 180mA Longueur du câble: 1 mètre Puissance nominale: 2W du brouillard: 30-35ML / H Contrôle: Appui long sur la touche de fonction 15 secondes activer le mode d'éclairage de nuit changement lanterne puis appuyez longuement sur 15 seconde couleur claire; appuyez longuement sur 15 seconde lumière au large. Produit applicable: chambre d'enfants chambre wc salon bureau voiture en plein air etc. Domaine d'utilisation: 10 belo carré Comment utiliser: 1. Débranchez ajouter la tête de l'humidificateur d'eau à la bouteille 2. Fermez le couvercle branchez le câble USB et allumez la puissance 3. Cliquez sur le bouton pour travailler le produit alimentation: alimentation de l'ordinateur l'alimentation de prise d'alimentation alimentation mobile Remarque: Ce produit est un humidificateur le matériel et la structure ne convient pas à l'arôme si l'ajout d'huile essentielle peut endommager la vie du produit. l'eau Humidifier est préférable d'utiliser l'eau du robinet car l'eau distillée après évaporation l'eau pure après extraction a changé le contenu du package de qualité de l'eau d'origine: 1pc Humidifier 1pc câble USB Cliquez sur le bouton pour travailler l'alimentation produit d'alimentation: alimentation de l'ordinateur l'alimentation de prise d'alimentation alimentation mobile Remarque: Ce produit est un humidificateur le matériel et la structure ne convient pas à l'arôme si on les ajoute l'huile essentielle peut endommager la vie du produit. l'eau Humidifier est préférable d'utiliser l'eau du robinet car l'eau distillée après évaporation l'eau pure après extraction a changé le contenu du package de qualité de l'eau d'origine: 1pc Humidifier 1pc câble USB Cliquez sur le bouton pour travailler l'alimentation produit d'alimentation: alimentation de l'ordinateur l'alimentation de prise d'alimentation alimentation mobile Remarque: Ce produit est un humidificateur le matériel et la structure ne convient pas à l'arôme si on les ajoute l'huile essentielle peut endommager la vie du produit. l'eau Humidifier est préférable d'utiliser l'eau du robinet car l'eau distillée après évaporation l'eau pure après extraction a changé le contenu du package de qualité de l'eau d'origine: 1pc Humidifier 1pc câble USB,2060/image_1252097056_product_3847027140.jpg,2060,False,False,True,Lampe Led Humidificateur Coupe Lumière Mignon Humidificateur D'air Diffuseur Purificateur Atomiseur,Lampe Humidifier Mignon Coupe Lumière LED Humidificateur Diffuseur Purificateur d'air Atomiseur Feature: 100% tout neuf et haute. Quantité: Matériaux de construction set: plastique ABS Augmenter l'humidité de l'air. Hydrater votre peau. Très portable et facile à utiliser un gadget de mode de vie sain il est idéal pour votre maison bureau ect. Capacité du réservoir: 220ML pulvérisation mise hors tension automatique; un bloc de 4 heures 8 heures deuxième bloc d'alimentation: entrée USB Tension: DC5V de travail en cours; Humidification: 400mA Ambiance: 180mA Longueur du câble: 1 mètre Puissance nominale: 2W du brouillard: 30-35ML / H Contrôle: Appui long sur la touche de fonction 15 secondes activer le mode d'éclairage de nuit changement lanterne puis appuyez longuement sur 15 seconde couleur claire; appuyez longuement sur 15 seconde lumière au large. Produit applicable: chambre d'enfants chambre wc salon bureau voiture en plein air etc. Domaine d'utilisation: 10 belo carré Comment utiliser: 1. Débranchez ajouter la tête de l'humidificateur d'eau à la bouteille 2. Fermez le couvercle branchez le câble USB et allumez la puissance 3. Cliquez sur le bouton pour travailler le produit alimentation: alimentation de l'ordinateur l'alimentation de prise d'alimentation alimentation mobile Remarque: Ce produit est un humidificateur le matériel et la structure ne convient pas à l'arôme si l'ajout d'huile essentielle peut endommager la vie du produit. l'eau Humidifier est préférable d'utiliser l'eau du robinet car l'eau distillée après évaporation l'eau pure après extraction a changé le contenu du package de qualité de l'eau d'origine: 1pc Humidifier 1pc câble USB Cliquez sur le bouton pour travailler l'alimentation produit d'alimentation: alimentation de l'ordinateur l'alimentation de prise d'alimentation alimentation mobile Remarque: Ce produit est un humidificateur le matériel et la structure ne convient pas à l'arôme si on les ajoute l'huile essentielle peut endommager la vie du produit. l'eau Humidifier est préférable d'utiliser l'eau du robinet car l'eau distillée après évaporation l'eau pure après extraction a changé le contenu du package de qualité de l'eau d'origine: 1pc Humidifier 1pc câble USB Cliquez sur le bouton pour travailler l'alimentation produit d'alimentation: alimentation de l'ordinateur l'alimentation de prise d'alimentation alimentation mobile Remarque: Ce produit est un humidificateur le matériel et la structure ne convient pas à l'arôme si on les ajoute l'huile essentielle peut endommager la vie du produit. l'eau Humidifier est préférable d'utiliser l'eau du robinet car l'eau distillée après évaporation l'eau pure après extraction a changé le contenu du package de qualité de l'eau d'origine: 1pc Humidifier 1pc câble USB
67376,3032797049,1186580470,U Draw Studio Et Tablette - ,en,U dessiner studio et tablette -,2462/image_1186580470_product_3032797049.jpg,2462,True,False,True,U Draw Studio Et Tablette,
76736,3590004082,1225434717,Set De 5 Tables Gigognes - H des 4 petites tables 49cm.    Largeur max des 4 petites tables 303cm,fr,Set De 5 Tables Gigognes - H des 4 petites tables 49cm.    Largeur max des 4 petites tables 303cm,1560/image_1225434717_product_3590004082.jpg,1560,True,False,True,Set De 5 Tables Gigognes,H des 4 petites tables 49cm.    Largeur max des 4 petites tables 303cm
5598,2063162058,1251713806,L'héritage De Charlotte - Tome 2 - ,fr,L'héritage De Charlotte - Tome 2 - ,10/image_1251713806_product_2063162058.jpg,10,True,False,True,L'héritage De Charlotte - Tome 2,
